chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_63,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,14,[]
Универсальныи_договор_узб_25.09.2025__chunk_64,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,33,[]
Универсальныи_договор_узб_25.09.2025__chunk_65,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_66,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_67,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,64,[]
Универсальныи_договор_узб_25.09.2025__chunk_68,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_69,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,70,[]
Универсальныи_договор_узб_25.09.2025__chunk_70,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_71,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,30,[]
Универсальныи_договор_узб_25.09.2025__chunk_72,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_73,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,28,[]
Универсальныи_договор_узб_25.09.2025__chunk_74,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_75,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,23,[]
